Photo;Name;Comments
mlp-wave-10-applejack-blind-bag.jpg;Applejack;AA|Glitter
mlp-wave-10-trixie-lulamoon-blind-bag.jpg;Trixie Lulamoon;AB|Glitter
mlp-wave-10-pinkie-pie-blind-bag.jpg;Pinkie Pie;AC|Glitter
mlp-wave-10-green-jewel-blind-bag.jpg;Green Jewel;AD|Glitter
mlp-wave-10-rainbowshine-blind-bag.jpg;Rainbowshine;AE|Glitter
mlp-wave-10-sunny-rays-blind-bag.jpg;Sunny Rays;AF|Glitter
mlp-wave-10-ribbon-wishes-blind-bag.jpg;Ribbon Wishes;AG|Glitter
mlp-wave-10-diamond-mint-blind-bag.jpg;Diamond Mint;AH|Glitter
mlp-wave-10-rainbow-swoop-blind-bag.jpg;Rainbow Swoop;AI|Glitter
mlp-wave-10-gilda-the-griffon-blind-bag.jpg;Gilda the Griffon;AK|Glitter
mlp-wave-10-strawberry-sunrise-blind-bag.jpg;Strawberry Sunrise;AL|Glitter
mlp-wave-10-lemon-hearts-blind-bag.jpg;Lemon Hearts;AM|Glitter
