Photo;Name;Comments;;
mlp-wave-10-fluttershy-blind-bag.jpg;Fluttershy;AA|Glitter;;
mlp-wave-10-lotus-blossom-blind-bag.jpg;Lotus Blossom;AB|Glitter;;
mlp-wave-10-snailsquirm-blind-bag.jpg;Snailsquirm;AC|Glitter;;
mlp-wave-10-twilight-sparkle-blind-bag.jpg;Twilight Sparkle;AD|Glitter;;
mlp-wave-10-peachy-sweet-blind-bag.jpg;Peachy Sweet;AE|Glitter;;
mlp-wave-10-flower-wishes-blind-bag.jpg;Flower Wishes;AF|Glitter;;
mlp-wave-10-snipsy-snap-blind-bag.jpg;Snipsy Snap;AG|Glitter;;
mlp-wave-10-mosely-orange-blind-bag.jpg;Mosely Orange;AH|Glitter;;
mlp-wave-10-junebug-blind-bag.jpg;Junebug;AI|Glitter;;
mlp-wave-10-sunshower-raindrops-blind-bag.jpg;Sunshower Raindrops;AK|Glitter;;
mlp-wave-10-sassaflash-blind-bag.jpg;Sassaflash;AL|Glitter;;
mlp-wave-10-royal-riff-blind-bag.jpg;Royal Riff;AM|Glitter;;
