Photo;Name;Comments
mlp-wave-11-rainbow-dash-blind-bag.jpg;Rainbow Dash;AA
mlp-wave-11-fluttershy-blind-bag.jpg;Fluttershy;AB
mlp-wave-11-pinkie-pie-blind-bag.jpg;Pinkie Pie;AC
mlp-wave-11-sunset-shimmer-blind-bag.jpg;Sunset Shimmer;AD
mlp-wave-11-flash-sentry-blind-bag.jpg;Flash Sentry;AE
mlp-wave-11-big-wig-blind-bag.jpg;Big Wig;AF
mlp-wave-11-helia-blind-bag.jpg;Helia;AG
mlp-wave-11-candy-apples-blind-bag.jpg;Candy Apples;AH
mlp-wave-11-purple-wave-blind-bag.jpg;Purple Wave;AI
mlp-wave-11-spitfire-blind-bag.jpg;Spitfire;AK
mlp-wave-11-neon-lights-blind-bag.jpg;Neon Lights;AL
mlp-wave-11-wensley-blind-bag.jpg;Wensley;AM
mlp-wave-11-cheese-sandwich-blind-bag.jpg;Cheese Sandwich;AN
mlp-wave-11-cloud-chaser-blind-bag.jpg;Cloud Chaser;AO
mlp-wave-11-pursey-pink-blind-bag.jpg;Pursey Pink;AP
mlp-wave-11-swanky-hank-blind-bag.jpg;Swanky Hank;AR
mlp-wave-11-buttonbelle-blind-bag.jpg;Buttonbelle;AS
mlp-wave-11-luckette-blind-bag.jpg;Luckette;AT
mlp-wave-11-lilac-hearts-blind-bag.jpg;Lilac Hearts;AU
mlp-wave-11-royal-pin-blind-bag.jpg;Royal Pin;AV
mlp-wave-11-ruby-splash-blind-bag.jpg;Ruby Splash;AW
mlp-wave-11-cloudia-breezie-blind-bag.jpg;Cloudia Breezie;AX
mlp-wave-11-sunny-breezie-blind-bag.jpg;Sunny Breezie;AY
mlp-wave-11-lilac-breezie-blind-bag.jpg;Lilac Breezie;AZ
