Photo;Name;Comments
mlp-wave-8-sunny-rays-blind-bag.jpg;Sunny Rays;AA|Neon
mlp-wave-8-pinkie-pie-blind-bag.jpg;Pinkie Pie;AB|Neon
mlp-wave-8-rarity-blind-bag.jpg;Rarity;AC|Neon
mlp-wave-8-twilight-sparkle-blind-bag.jpg;Twilight Sparkle;AD|Neon
mlp-wave-8-golden-harvest-blind-bag.jpg;Golden Harvest;AE|Neon
mlp-wave-8-sassaflash-blind-bag.jpg;Sassaflash;AF|Neon
mlp-wave-8-lotus-blossom-blind-bag.jpg;Lotus Blossom;AG|Neon
mlp-wave-8-ribbon-wishes-blind-bag.jpg;Ribbon Wishes;AH|Neon
mlp-wave-8-mosely-orange-blind-bag.jpg;Mosely Orange;AI|Neon
mlp-wave-8-princess-cadance-blind-bag.jpg;Princess Cadance;AK|Neon
mlp-wave-8-gilda-the-griffon-blind-bag.jpg;Gilda the Griffon;AL|Neon
mlp-wave-8-flam-blind-bag.jpg;Flam;AM|Neon
